Product_id,Goal_name
P107306,EvensSkintone
P107306,Hydration
P107306,Soothing
P107306,antiAcne
P107306,antiAging
P107306,bumpySkin
P107306,darkSpot
P107306,oilControl
P107306,poreMinimizer
P114902,Blackhead
P114902,EvensSkintone
P114902,Hydration
P114902,Soothing
P114902,antiAcne
P114902,antiAging
P114902,bumpySkin
P114902,oilControl
P12045,Hydration
P122651,Blackhead
P122651,EvensSkintone
P122651,Hydration
P122651,Soothing
P122651,antiAcne
P122651,antiAging
P122651,oilControl
P122661,Hydration
P122661,Soothing
P122661,antiAging
P122661,oilControl
P122718,Blackhead
P122718,Hydration
P122718,Soothing
P122718,antiAcne
P122718,antiAging
P122718,oilControl
P122727,EvensSkintone
P122727,Hydration
P122727,Soothing
P122727,antiAging
P122727,darkSpot
P122727,oilControl
P122762,Hydration
P122762,Soothing
P122762,antiAging
P122767,Blackhead
P122767,Hydration
P122767,Soothing
P122767,antiAcne
P122767,antiAging
P122767,oilControl
P122774,Blackhead
P122774,EvensSkintone
P122774,Hydration
P122774,Soothing
P122774,antiAging
P122774,oilControl
P122782,EvensSkintone
P122782,Hydration
P122782,Soothing
P122782,antiAging
P122782,oilControl
P122876,Blackhead
P122876,Hydration
P122876,Soothing
P122876,antiAcne
P122876,antiAging
P122881,Blackhead
P122881,Hydration
P122881,Soothing
P122881,antiAcne
P122881,antiAging
P122882,EvensSkintone
P122882,Hydration
P122882,Soothing
P122882,antiAging
P122882,oilControl
P122900,EvensSkintone
P122900,Hydration
P122900,Soothing
P122900,antiAging
P122900,bumpySkin
P122900,oilControl
P12295,Hydration
P12295,Soothing
P12295,antiAging
P12295,oilControl
P12295,poreMinimizer
P12336,EvensSkintone
P12336,Hydration
P12336,Soothing
P12336,antiAging
P12336,oilControl
P12573,Hydration
P12573,Soothing
P12573,antiAging
P126301,EvensSkintone
P126301,Hydration
P126301,Soothing
P126301,antiAging
P139000,Hydration
P139000,Soothing
P139000,antiAging
P164932,Hydration
P164932,Soothing
P173619,Hydration
P173619,Soothing
P173619,antiAcne
P173619,antiAging
P173619,oilControl
P173619,poreMinimizer
P173622,Hydration
P173622,Soothing
P173622,antiAcne
P173622,antiAging
P173622,oilControl
P173622,poreMinimizer
P173652,EvensSkintone
P173652,Hydration
P173652,Soothing
P173652,antiAging
P173652,oilControl
P173652,poreMinimizer
P174502,Hydration
P174502,Soothing
P174502,antiAging
P174502,oilControl
P188306,EvensSkintone
P188306,Hydration
P188306,Soothing
P188306,antiAging
P188306,bumpySkin
P188306,oilControl
P188306,poreMinimizer
P188307,EvensSkintone
P188307,Hydration
P188307,Soothing
P188307,antiAging
P188307,oilControl
P188307,poreMinimizer
P188309,EvensSkintone
P188309,Hydration
P188309,Soothing
P188309,antiAging
P188309,bumpySkin
P188309,oilControl
P188309,poreMinimizer
P196524,Hydration
P196524,Soothing
P196524,antiAging
P196524,oilControl
P196542,Hydration
P196542,Soothing
P196542,antiAging
P196542,oilControl
P201439,EvensSkintone
P201439,Hydration
P201439,Soothing
P201439,antiAging
P201439,bumpySkin
P201439,oilControl
P202935,EvensSkintone
P202935,Hydration
P202935,Soothing
P202935,antiAging
P202935,oilControl
P203616,EvensSkintone
P203616,Hydration
P203616,Soothing
P203616,antiAging
P203616,oilControl
P205614,EvensSkintone
P205614,Hydration
P205614,Soothing
P205614,antiAging
P205614,darkSpot
P205614,oilControl
P214002,EvensSkintone
P214002,Hydration
P214002,Soothing
P214002,antiAging
P214002,darkSpot
P217513,EvensSkintone
P217513,Hydration
P217513,Soothing
P217513,antiAcne
P217513,antiAging
P217513,bumpySkin
P217513,darkSpot
P217513,oilControl
P217931,EvensSkintone
P217931,Hydration
P217931,Soothing
P217931,antiAging
P217932,EvensSkintone
P217932,Hydration
P217932,Soothing
P217932,antiAging
P218700,Hydration
P218700,antiAging
P232327,Hydration
P232327,Soothing
P232327,antiAging
P232327,oilControl
P232902,Hydration
P232902,Soothing
P232902,antiAging
P232902,oilControl
P232902,poreMinimizer
P232903,Blackhead
P232903,Hydration
P232903,Soothing
P232903,antiAcne
P232903,antiAging
P232903,oilControl
P232906,Hydration
P232906,Soothing
P232906,antiAging
P232906,oilControl
P232907,EvensSkintone
P232907,Hydration
P232907,antiAcne
P232907,antiAging
P232907,bumpySkin
P232907,darkSpot
P232910,EvensSkintone
P232910,Hydration
P232910,Soothing
P232910,antiAging
P232915,Blackhead
P232915,EvensSkintone
P232915,Hydration
P232915,Soothing
P232915,antiAcne
P232915,antiAging
P232915,bumpySkin
P232915,darkSpot
P232915,oilControl
P232920,EvensSkintone
P232920,Hydration
P232920,Soothing
P232920,antiAging
P232920,bumpySkin
P232920,darkSpot
P232920,oilControl
P244701,EvensSkintone
P244701,Hydration
P244701,Soothing
P244701,antiAging
P244701,oilControl
P244701,poreMinimizer
P248404,EvensSkintone
P248404,Hydration
P248404,Soothing
P248404,antiAging
P248404,darkSpot
P248404,oilControl
P248407,Hydration
P248407,Soothing
P248407,antiAging
P248407,darkSpot
P248407,oilControl
P251529,EvensSkintone
P251529,Hydration
P251529,Soothing
P251529,antiAcne
P251529,antiAging
P251529,darkSpot
P251529,poreMinimizer
P254720,EvensSkintone
P254720,Hydration
P254720,Soothing
P254720,antiAcne
P254720,antiAging
P254720,darkSpot
P254720,oilControl
P254720,poreMinimizer
P257537,EvensSkintone
P257537,Hydration
P257537,Soothing
P257537,antiAging
P257537,darkSpot
P266126,Hydration
P266126,Soothing
